"item","Frequency"
"a bad case of",7
"a bad day and",6
"a bad day i",5
"a bad time to",6
"a bad way to",8
"a bag full of",5
"a bag of chips",3
"a balanced budget amendment",5
"a band called the",3
"a battle of the",4
"a beautiful day and",9
"a beautiful day in",27
"a beer and a",4
"a bend in the",3
"a better chance of",12
"a better deal than",6
"a better job of",13
"a better job than",7
"a better look at",4
"a better place to",7
"a better relationship with",3
"a better way of",3
"a better way to",35
"a big bowl of",5
"a big chunk of",10
"a big deal about",7
"a big deal in",3
"a big deal out",6
"a big deal to",6
"a big difference between",8
"a big difference in",3
"a big fan of",71
"a big hole in",3
"a big influence on",5
"a big part of",55
"a big pile of",3
"a big thing for",4
"a bit about the",5
"a bit before the",3
"a bit hard to",3
"a bit like a",7
"a bit more on",3
"a bit of a",188
"a bit of that",4
"a bit of the",22
"a bit on the",8
"a bit out of",13
"a bit too much",11
"a bit tricky to",3
"a bite out of",4
"a bite to eat",13
"a black and white",11
"a black dress and",3
"a blast from the",5
"a blessing to me",5
"a blind eye to",8
"a block from the",4
"a blog post about",11
"a blog post on",10
"a book about the",6
"a book by its",7
"a book that has",5
"a bottle of wine",17
"a bowl of cold",4
"a bowl of soup",7
"a box of chocolates",7
"a boy and a",5
"a boy in the",3
"a boy or a",6
"a brand name and",3
"a break from the",14
"a break in the",13
"a bucket of water",3
"a budget for the",4
"a bump in the",4
"a bunch of friends",8
"a bunch of good",4
"a bunch of old",5
"a bunch of other",14
"a bunch of people",20
"a bunch of times",5
"a bunch of us",6
"a call from a",17
"a call from my",5
"a call from the",5
"a call on my",3
"a career as a",8
"a career in the",6
"a case for the",4
"a case in point",6
"a case of the",14
"a celebration of the",7
"a cell phone and",6
"a certain amount of",21
"a certain kind of",9
"a certain level of",10
"a certain number of",4
"a certain type of",5
"a challenge to get",3
"a chance at a",8
"a chance at the",3
"a chance but i",3
"a chance for a",8
"a chance for the",4
"a chance of a",4
"a chance to be",17
"a chance to catch",8
"a chance to come",6
"a chance to get",19
"a chance to give",5
"a chance to have",3
"a chance to learn",3
"a chance to live",3
"a chance to look",6
"a chance to make",19
"a chance to meet",19
"a chance to play",19
"a chance to read",5
"a chance to respond",4
"a chance to see",16
"a chance to speak",5
"a chance to start",6
"a chance to take",10
"a chance to try",6
"a chance to visit",5
"a chance to vote",4
"a chance to win",102
"a chance to work",4
"a change in the",18
"a change is gonna",4
"a change of heart",5
"a change of scenery",7
"a child for a",3
"a child in the",8
"a child who is",7
"a child who was",4
"a chip on his",4
"a clear signal to",3
"a close eye on",8
"a close look at",4
"a closer relationship with",3
"a collection of short",3
"a combination of the",8
"a company with a",3
"a concerted effort to",3
"a conference call with",22
"a contest for the",3
"a continuation of the",9
"a conversation with a",7
"a conversation with me",3
"a conversation with someone",4
"a cooking class at",4
"a cop in the",3
"a copy of a",6
"a copy of it",5
"a copy of our",4
"a copy of the",50
"a copy of your",7
"a corner of the",6
"a couple days and",3
"a couple hours of",5
"a couple of blocks",6
"a couple of days",93
"a couple of different",5
"a couple of dozen",4
"a couple of good",6
"a couple of great",6
"a couple of hours",59
"a couple of miles",6
"a couple of minutes",19
"a couple of months",37
"a couple of people",14
"a couple of questions",3
"a couple of seasons",5
"a couple of the",15
"a couple of them",15
"a couple of these",10
"a couple of times",55
"a couple of weeks",110
