"item","Frequency"
"a and b",10
"a b and",3
"a baby a",3
"a baby at",7
"a baby but",6
"a baby girl",16
"a baby in",10
"a baby she",4
"a baby shower",12
"a baby who",5
"a baby with",5
"a back seat",12
"a back to",5
"a backlog of",8
"a bad back",5
"a bad case",7
"a bad day",54
"a bad deal",4
"a bad decision",15
"a bad guy",6
"a bad idea",46
"a bad investment",4
"a bad marriage",3
"a bad mood",27
"a bad movie",4
"a bad name",8
"a bad night",7
"a bad one",10
"a bad person",8
"a bad rap",5
"a bad review",7
"a bad situation",9
"a bad thing",83
"a bad time",12
"a bad way",21
"a bad word",8
"a bad year",4
"a bag full",5
"a bag in",3
"a bag of",68
"a bake sale",6
"a bakery in",4
"a balance between",8
"a balance of",9
"a balanced budget",16
"a balancing act",4
"a bald eagle",5
"a ball at",5
"a ball of",7
"a banana and",3
"a band and",7
"a band called",5
"a band like",3
"a band of",11
"a band that",7
"a bank i",4
"a bank in",5
"a bar and",12
"a bar in",12
"a bar of",7
"a bar the",5
"a barnes noble",3
"a barrage of",6
"a barrel of",6
"a base for",5
"a base hit",10
"a base in",4
"a baseball and",5
"a baseball bat",8
"a baseball field",4
"a baseball game",7
"a baseball player",8
"a basket of",7
"a batch of",25
"a bathing suit",7
"a bathroom and",4
"a battle is",4
"a battle of",12
"a battle with",9
"a bb gun",3
"a beach party",3
"a beacon of",7
"a bear in",6
"a beast of",3
"a beat and",5
"a beatles song",4
"a beautiful campus",3
"a beautiful day",152
"a beautiful girl",10
"a beautiful job",4
"a beautiful place",6
"a beautiful red",3
"a beautiful song",7
"a beautiful sunny",7
"a beautiful thing",23
"a beauty and",3
"a beauty queen",3
"a bed of",21
"a bed to",5
"a beer and",23
"a beer bottle",4
"a beer on",6
"a beer or",9
"a beer to",6
"a beer with",7
"a beginning and",6
"a bend in",3
"a benefit to",4
"a best friend",20
"a best seller",4
"a better and",4
"a better chance",29
"a better choice",9
"a better day",10
"a better deal",14
"a better future",15
"a better idea",14
"a better job",45
"a better life",18
"a better lifestyle",4
"a better look",8
"a better man",13
"a better one",9
"a better person",20
"a better place",59
"a better position",7
"a better price",5
"a better relationship",4
"a better term",3
"a better than",4
"a better time",9
"a better understanding",16
"a better way",51
"a better word",7
"a better world",17
"a better year",7
"a bid to",25
"a big baby",4
"a big big",10
"a big black",4
"a big book",5
"a big bowl",8
"a big boy",11
"a big change",11
"a big chunk",10
"a big day",24
"a big deal",99
"a big difference",26
"a big dog",7
"a big enough",9
"a big event",6
"a big family",6
"a big fan",100
"a big fat",16
"a big heart",7
"a big help",8
"a big hit",31
"a big hole",3
"a big hug",10
"a big impact",17
"a big influence",7
"a big issue",8
"a big man",9
"a big mistake",12
"a big night",4
"a big no",5
"a big ol",11
"a big one",23
"a big part",58
"a big party",12
"a big pile",3
"a big problem",17
"a big public",3
"a big red",4
"a big screen",8
"a big smile",9
"a big splash",4
"a big statement",4
"a big step",15
"a big surprise",6
"a big thing",12
"a big way",12
"a big wide",3
"a big year",7
"a bigger one",7
"a bike ride",11
"a bill but",4
"a bill in",9
"a bill that",49
"a bill to",35
"a billion and",3
"a bird in",4
"a birth certificate",7
"a birthday cake",7
"a birthday gift",6
"a birthday party",26
"a birthday present",9
"a bit about",27
"a bit and",48
"a bit as",6
"a bit at",8
"a bit awkward",6
"a bit before",10
"a bit better",14
"a bit but",29
"a bit creepy",6
"a bit different",20
"a bit difficult",6
"a bit early",7
"a bit easier",3
"a bit for",10
"a bit from",7
"a bit further",10
"a bit hard",4
"a bit harder",6
"a bit if",6
"a bit in",20
"a bit into",3
"a bit later",6
"a bit less",25
"a bit like",34
"a bit longer",20
"a bit maybe",4
"a bit more",168
"a bit much",12
"a bit nervous",10
"a bit of",549
"a bit off",7
"a bit on",19
"a bit out",13
"a bit over",11
"a bit overwhelming",5
"a bit rough",6
"a bit since",6
"a bit so",10
"a bit surprised",5
"a bit tired",5
"a bit to",29
"a bit too",66
"a bit tricky",6
"a bit with",11
"a bite before",4
"a bite of",10
"a bite out",4
"a bite to",13
"a bitter pill",3
"a black and",16
"a black belt",3
"a black car",3
"a black dress",4
"a black eye",5
"a black guy",9
"a black man",11
"a black person",4
"a black tshirt",6
"a black woman",8
"a blank canvas",9
"a blanket and",8
