"w1","w2","w3","rank"
"become","better","person",5
"become","number","one",3
"bed","bath","beyond",12
"bed","last","night",12
"beginning","new","day",3
"beginning","new","year",5
"behind","closed","doors",19
"behind","home","plate",9
"believe","years","since",4
"belly","button","ring",3
"best","can","get",4
"best","day","ever",22
"best","day","life",7
"best","decision","ever",4
"best","director","best",4
"best","exotic","marigold",7
"best","friend","later",3
"best","idea","ever",7
"best","kept","secret",4
"best","mexican","food",4
"best","people","can",4
"best","place","find",4
"best","place","go",5
"best","place","start",3
"best","supporting","actor",10
"best","thing","can",9
"best","thing","ever",38
"best","thing","just",3
"best","time","year",6
"best","way","can",6
"best","way","found",3
"best","way","get",16
"best","way","possible",4
"best","way","use",3
"better","anyone","else",6
"better","business","bureau",15
"better","next","year",6
"better","real","life",4
"better","way","celebrate",12
"big","bang","theory",34
"big","brothers","big",5
"big","deal","like",3
"big","red","machine",3
"big","smile","face",9
"bigger","better","things",8
"biggest","role","model",3
"bill","goes","effect",3
"billion","per","year",4
"bin","laden","raid",4
"bin","ladens","death",13
"birth","control","pills",9
"birth","second","child",3
"black","eyed","peas",15
"black","friday","shopping",5
"black","history","month",22
"black","pepper","taste",9
"black","tie","event",3
"blah","blah","blah",27
"blood","pressure","cholesterol",3
"blood","sugar","levels",4
"blood","sweat","tears",9
"book","discussion","group",3
"book","last","year",3
"book","will","available",5
"book","world","records",3
"born","new","york",4
"born","united","states",4
"boston","red","sox",19
"boyz","ii","men",7
"bp","oil","spill",4
"brave","men","women",6
"breakfast","important","meal",3
"breakfast","lunch","dinner",20
"breaking","bad","amc",4
"breast","cancer","awareness",7
"breast","cancer","survivors",4
"breath","fresh","air",11
"bring","back","life",3
"bring","good","news",3
"bring","home","gold",3
"bring","may","flowers",3
"bring","troops","home",4
"british","prime","minister",5
"broke","last","week",5
"brothers","big","sisters",5
"brought","tears","eyes",8
"brown","bag","lunch",3
"brown","eyed","girl",3
"brown","paper","bag",5
"browns","draft","picks",3
"buenos","aires","argentina",3
"buffalo","wild","wings",11
"buffy","vampire","slayer",7
"bunch","grown","men",3
"bureau","labor","statistics",14
"burn","extra","calories",5
"bush","tax","cuts",9
"butter","jelly","sandwich",4
"butter","jelly","sandwiches",6
"butternut","squash","soup",5
"buy","bottle","wine",3
"buy","lottery","ticket",3
"buy","new","clothes",3
"buy","one","get",14
"buying","first","home",3
"cabo","san","lucas",8
"cake","ice","cream",7
"call","cell","phone",4
"call","make","appointment",4
"call","special","session",4
"called","let","know",5
"came","along","ride",4
"came","home","school",4
"came","last","week",5
"came","last","year",6
"came","loud","clear",3
"came","pretty","good",4
"came","say","hello",4
"camp","will","held",3
"can","actually","make",6
"can","actually","use",3
"can","already","see",5
"can","also","bring",5
"can","also","call",4
"can","also","catch",4
"can","also","download",3
"can","also","get",6
"can","also","help",6
"can","also","make",6
"can","also","try",4
"can","always","count",13
"can","always","find",9
"can","always","get",6
"can","always","go",3
"can","anyone","else",5
"can","anything","make",3
"can","anything","put",5
"can","bet","will",5
"can","buy","new",3
"can","buy","tickets",6
"can","call","back",3
"can","cause","cancer",4
"can","cause","problems",3
"can","change","way",4
"can","change","world",19
"can","clearly","see",5
"can","easily","add",3
"can","ever","hope",3
"can","expect","see",5
"can","feel","difference",5
"can","feel","energy",3
"can","feel","good",6
"can","feel","like",9
"can","finally","get",11
"can","find","better",4
"can","find","good",10
"can","find","list",3
"can","find","many",4
"can","find","one",7
"can","find","someone",5
"can","find","something",5
"can","find","time",7
"can","find","way",15
"can","found","throughout",4
"can","get","another",9
"can","get","around",5
"can","get","away",25
"can","get","back",29
"can","get","behind",10
"can","get","better",17
"can","get","done",11
"can","get","extra",4
"can","get","free",11
"can","get","good",13
"can","get","help",3
"can","get","information",4
"can","get","just",5
"can","get","little",9
"can","get","lost",5
"can","get","one",25
"can","get","things",4
"can","get","ticket",3
"can","get","together",8
"can","get","us",6
"can","get","way",8
"can","give","information",3
"can","go","back",30
"can","go","home",14
"can","go","long",8
"can","go","work",4
"can","go","wrong",14
"can","handle","things",3
"can","hardly","wait",14
"can","help","business",3
"can","help","can",4
"can","help","find",8
"can","help","get",26
"can","help","keep",6
"can","help","prevent",5
"can","help","save",3
"can","help","us",23
"can","honestly","say",30
"can","judge","whether",3
"can","just","feel",5
"can","just","get",11
"can","just","go",13
"can","just","imagine",5
"can","just","make",5
"can","just","say",20
"can","last","years",5
"can","learn","something",5
"can","let","go",4
"can","live","without",15
"can","look","back",19
"can","look","forward",11
"can","look","like",7
"can","make","break",5
"can","make","change",3
"can","make","difference",28
"can","make","even",3
"can","make","feel",13
"can","make","money",9
"can","make","sure",9
"can","make","time",8
"can","make","world",4
"can","mean","one",8
"can","move","forward",5
"can","never","get",17
"can","never","go",11
"can","never","know",3
"can","never","many",5
"can","never","seem",3
"can","now","say",3
"can","open","door",3
"can","paint","picture",3
"can","play","role",4
"can","pretty","much",7
"can","put","away",3
"can","put","together",8
"can","really","get",4
"can","really","say",5
"can","really","see",4
"can","really","tell",3
"can","rest","assured",3
"can","save","money",11
"can","say","just",5
"can","say","will",4
"can","see","clearly",6
"can","see","light",5
"can","see","now",5
"can","see","one",10
"can","see","pretty",3
"can","see","two",4
"can","something","else",3
"can","something","like",5
"can","start","playing",3
"can","start","today",3
"can","still","feel",6
"can","still","get",26
"can","still","go",5
"can","still","hear",3
"can","still","make",12
"can","still","see",14
"can","take","away",8
"can","take","care",15
"can","take","us",9
"can","take","weeks",3
"can","tell","difference",8
"can","tell","just",7
"can","tell","lot",5
"can","tell","much",3
"can","tell","one",3
"can","tell","real",3
"can","tell","story",5
"can","tell","us",10
"can","traced","back",4
"can","truly","say",7
"can","try","get",5
"can","turn","around",8
"can","use","anything",3
"can","use","help",5
"can","walk","away",5
"can","whatever","want",10
"can","write","story",3
"cancer","awareness","month",5
"candied","orange","peel",3
"cannes","film","festival",4
"cant","afford","buy",6
"cant","afford","food",3
"cant","even","count",4
"cant","even","explain",4
"cant","even","imagine",12
"cant","even","remember",10
"cant","find","good",3
"cant","find","way",6
"cant","get","back",10
"cant","get","enough",45
"cant","get","head",5
"cant","get","rid",7
"cant","get","straight",3
"cant","get","together",3
"cant","go","anywhere",6
"cant","go","back",15
"cant","go","wrong",28
"cant","handle","much",3
"cant","help","feel",8
"cant","help","notice",4
"cant","help","wonder",6
"cant","imagine","life",7
"cant","just","keep",5
"cant","just","say",5
"cant","keep","track",3
"cant","live","without",26
"cant","make","decision",3
"cant","make","mind",6
"cant","make","stuff",6
"cant","pick","just",4
"cant","really","blame",3
"cant","really","get",4
"cant","really","tell",7
"cant","remember","last",14
"cant","remember","name",6
"cant","say","enough",8
"cant","say","one",3
"cant","seem","find",7
"cant","seem","get",12
"cant","soon","enough",5
"cant","stop","thinking",27
"cant","take","credit",6
"cant","tell","many",6
"cant","tell","much",7
"cant","thank","enough",12
"cant","think","anything",13
"cant","wait","back",15
"cant","wait","check",17
"cant","wait","get",109
"cant","wait","put",3
"cant","wait","see",515
"cant","wait","share",33
"cant","wait","start",26
"caramel","ice","cream",3
"care","anyone","says",6
"care","loved","ones",3
"care","people","say",6
"career","home","run",4
"career","home","runs",4
"carry","much","weight",4
"cast","first","stone",3
"catchers","report","spring",3
"catholic","high","school",11
"celebrate","cinco","de",10
"celebrate","th","anniversary",5
"celebrate","th","birthday",4
"celebrated","th","birthday",5
"celebrates","th","anniversary",9
"celebrating","th","anniversary",10
"celebrating","th","birthday",7
"cell","phone","use",4
"cell","phones","people",4
"center","performing","arts",11
"central","washington","university",3
"ceo","jamie","dimon",4
"certain","things","will",3
"champions","league","final",6
"chance","win","free",16
"chance","win","great",5
"change","never","easy",4
"change","one","thing",5
"changed","much","since",8
"changed","since","last",5
"chapel","hill","nc",5
"charles","de","gaulle",4
"check","back","next",7
"check","back","week",4
"check","check","check",6
"check","engine","light",7
"check","make","sure",6
"chef","de","cuisine",10
"chicago","los","angeles",5
"chicken","noodle","soup",8
"chicken","pot","pie",6
"chief","executive","officer",58
"chief","marketing","officer",9
"child","left","behind",13
"child","protective","services",12
"child","sexual","abuse",10
"child","support","payments",5
"child","tax","credit",4
"children","can","learn",4
"chinese","new","year",17
"chitty","bang","bang",3
"chitty","chitty","bang",3
"chocolate","chip","cookies",25
"chocolate","ice","cream",12
"chocolate","peanut","butter",11
"chris","evans","chris",3
"christmas","new","years",10
"church","sunday","morning",3
"cinco","de","mayo",174
"city","council","meeting",15
"city","council","members",25
"city","council","voted",11
"city","new","orleans",4
"civil","rights","act",4
"civil","rights","activist",4
"civil","rights","movement",25
"class","action","lawsuit",4
"class","action","suit",4
"classes","can","help",3
"clean","bill","health",4
"clean","drinking","water",6
"climate","change","will",3
"close","can","get",4
"close","family","friend",3
"close","finish","line",4
"closest","will","ever",3
"cold","flu","season",4
"cold","hard","cash",5
"collection","short","stories",6
"college","football","game",4
"college","world","series",5
"colorado","state","university",8
"columbia","river","gorge",9
"comes","mind","think",4
"coming","back","even",3
"coming","back","home",7
"coming","back","left",3
"coming","back","us",3
"coming","every","day",4
"commercial","real","estate",20
"common","core","standards",5
"comprehensive","immigration","reform",11
"conference","washington","dc",7
"conservative","talk","radio",4
"continue","work","hard",3
"cool","calm","collected",6
"coolest","thing","ever",4
"corned","beef","cabbage",7
"countries","around","world",3
"county","sheriffs","office",51
"couple","days","ago",18
"couple","hours","away",3
"couple","months","ago",23
"couple","times","week",4
"couple","weeks","ago",76
"couple","weeks","back",3
"couple","weeks","will",7
"couple","years","ago",56
"couple","years","back",6
"couple","years","later",5
"couple","years","now",4
"craft","beer","week",13
"create","something","new",3
"create","whole","new",4
"credit","card","companies",5
"credit","card","debt",12
"credit","card","payments",3
"cried","like","baby",4
"critical","thinking","skills",6
"crude","oil","natural",3
"cuba","gooding","jr",4
"curled","good","book",3
"cutting","room","floor",4
"cy","young","award",12
"dad","passed","away",4
"dad","poor","dad",3
"dallas","fort","worth",6
"dark","brown","hair",4
"dark","knight","rises",6
"dark","side","moon",4
"day","back","work",8
"day","came","home",6
"day","can","see",4
"day","cinco","de",5
"day","day","day",3
"day","days","week",5
"day","earth","day",7
"day","every","day",26
"day","family","friends",5
"day","feel","like",5
"day","first","time",3
"day","go","back",4
"day","high","school",6
"day","just","around",5
"day","looking","forward",9
"day","make","sure",10
"day","maybe","will",4
"day","pretty","much",5
"day","set","aside",4
"day","six","hours",3
"day","three","days",4
"day","today","will",4
"day","trying","get",6
"day","weekend","will",4
"day","will","see",15
"day","will","take",5
"day","years","ago",4
"days","just","cant",3
"de","la","rosa",5
"de","la","soul",5
"death","cab","cutie",6
"death","osama","bin",4
"death","trayvon","martin",5
"death","united","states",8
"decide","whether","want",3
"decided","go","ahead",4
"decided","go","back",8
"decision","ever","made",8
"deep","blue","sea",7
"definitely","going","miss",3
"department","homeland","security",21
"department","housing","urban",7
"deputy","prime","minister",7
"detroit","public","schools",3
"diary","wimpy","kid",9
"dicaprio","j","edgar",4
"died","car","accident",5
"died","days","ago",3
"died","last","year",8
"died","plane","crash",4
"different","anything","else",4
"different","every","time",4
"different","people","different",3
"different","places","different",4
"different","times","different",3
"diners","driveins","dives",5
"dining","room","table",15
"dirty","little","secret",5
"dirty","rotten","scoundrels",3
"discussion","right","now",3
"domestic","energy","production",3
"done","feel","like",4
"done","good","job",9
"done","good","thing",3
"done","great","deal",4
"done","great","job",14
"done","long","time",10
"done","lot","things",3
"done","many","things",4
"done","many","times",8
"done","something","like",3
"done","years","ago",4
"doors","open","pm",28
"double","edged","sword",4
"doubt","will","see",4
"dreams","coming","true",6
"drink","plenty","water",7
"drive","way","home",3
"driving","back","home",3
"drove","miles","per",3
"drug","deal","gone",3
"dry","dog","food",3
"duck","fat","fries",4
"due","later","year",4
"duke","blue","devils",4
"dulce","de","leche",7
"e","th","st",12
"early","childhood","education",9
"early","friday","morning",5
"early","morning","hours",10
"early","next","week",18
"early","next","year",29
"early","sunday","morning",11
"early","th","century",18
"easier","said","done",12
"east","st","louis",43
"easter","egg","hunt",17
"easter","egg","roll",7
"eastern","standard","time",4
"easy","get","lost",3
"easy","way","get",3
"eat","pray","love",5
"eating","peanut","butter",4
"eddie","van","halen",3
"edgar","allan","poe",10
"edgar","rice","burroughs",4
"eight","hours","day",9
"either","way","will",9
"el","paso","texas",9
"el","paso","will",3
"election","barack","obama",3
"electricity","running","water",4
"elementary","school","students",5
"else","can","get",4
"else","can","say",4
"emails","text","messages",3
"emergency","management","director",5
"emergency","medical","services",4
"emergency","room","visits",3
"empire","state","building",15
"empty","egg","carton",3
"end","day","just",6
"end","day","still",7
"end","day","want",3
"end","every","day",3
"end","fiscal","year",5
"end","last","season",7
"end","last","year",13
"end","long","day",4
"end","next","week",9
"end","school","year",16
"enhanced","interrogation","techniques",5
"enough","cash","hand",3
"enough","hours","day",6
"enough","people","will",4
"enough","time","get",7
"entire","group","people",3
"especially","time","year",5
"evans","chris","hemsworth",3
"eve","new","years",4
"even","begin","describe",4
"even","better","can",4
"even","better","live",3
"even","better","movie",3
"even","feel","like",12
"even","get","started",12
"even","go","far",6
"even","high","school",3
"even","just","little",6
"even","just","one",3
"even","know","begin",3
"even","know","going",5
"even","know","just",5
"even","know","start",4
"even","little","bit",5
"even","something","simple",3
"even","though","best",3
"even","though","cant",9
"even","though","done",5
"even","though","first",5
"even","though","got",3
"even","though","huge",3
"even","though","just",5
"even","though","lost",5
"even","though","lot",4
"even","though","love",6
"even","though","many",3
"even","though","money",3
"even","though","new",5
"even","though","now",5
"even","though","officially",3
"even","though","one",8
"even","though","people",4
"even","though","said",4
"even","though","seen",3
"even","though","spent",3
"even","though","still",11
"even","though","went",3
"even","though","will",8
"event","takes","place",5
"event","taking","place",5
"ever","done","something",3
"ever","seen","life",5
"ever","thought","possible",3
"every","area","life",4
"every","aspect","life",9
"every","chance","get",4
"every","day","always",6
"every","day","can",4
"every","day","day",3
"every","day","earth",6
"every","day","even",4
"every","day","every",12
"every","day","get",7
"every","day","just",10
"every","day","know",6
"every","day","like",9
"every","day","love",5
"every","day","make",3
"every","day","new",7
"every","day","one",6
"every","day","seeing",3
"every","day","since",8
"every","day","something",3
"every","day","wake",3
"every","day","week",14
"every","day","will",8
"every","day","work",5
"every","day","working",3
"every","decision","make",4
"every","five","years",7
"every","last","drop",5
"every","last","one",8
"every","little","thing",12
"every","minute","day",5
"every","moment","life",6
"every","night","week",3
"every","part","body",7
"every","single","day",50
"every","single","night",6
"every","single","one",24
"every","single","person",12
"every","single","song",4
"every","single","thing",11
"every","single","time",14
"every","step","way",8
"every","time","buy",4
"every","time","comes",3
"every","time","get",20
"every","time","go",18
"every","time","hear",23
"every","time","meet",5
"every","time","new",5
"every","time","one",7
"every","time","someone",11
"every","time","something",6
"every","time","step",4
"every","time","use",5
"every","time","write",3
"every","two","minutes",3
"every","year","different",4
"every","year","get",6
"every","year","seems",3
"everyone","can","get",4
"everyone","else","getting",4
"everyone","else","will",4
"everyone","high","school",3
"everything","can","make",4
"everything","goes","well",6
"everything","happens","reason",21
"everything","need","know",10
"everything","went","well",6
"exactly","going","see",3
"exactly","one","year",4
"excited","get","back",5
"excited","looking","forward",4
"excited","right","now",8
"existing","home","sales",4
"exotic","marigold","hotel",8
"experience","will","never",3
"extended","period","time",7
"extra","virgin","olive",11
"eye","can","see",6
"eyes","can","see",6
"eyes","wide","open",6
"f","scott","fitzgerald",10
"fa","cup","final",6
"face","every","time",3
"face","right","now",4
"facebook","page","wwwfacebookcom",4
"fall","back","asleep",6
"fall","back","sleep",5
"false","sense","security",5
"family","close","friends",6
"family","friends","even",4
"family","friends","will",7
"fannie","mae","freddie",20
"fans","will","get",5
"far","can","go",5
"far","can","tell",10
"far","long","since",4
"fashion","faux","pas",4
"fat","lady","sings",3
"fathers","day","dad",3
"fathers","day","dads",7
"favorite","ice","cream",5
"favorite","part","whole",3
"favorite","tv","show",10
"fearfully","wonderfully","made",4
"federal","housing","administration",8
"federal","law","enforcement",14
"federal","reserve","system",3
"federal","trade","commission",12
"feel","bit","like",5
"feel","free","post",8
"feel","free","share",13
"feel","good","enough",3
"feel","good","feel",4
"feel","like","best",3
"feel","like","big",3
"feel","like","can",16
"feel","like","crap",7
"feel","like","deserve",3
"feel","like","done",4
"feel","like","every",5
"feel","like","get",6
"feel","like","getting",14
"feel","like","give",4
"feel","like","go",5
"feel","like","good",8
"feel","like","just",32
"feel","like","life",4
"feel","like","living",5
"feel","like","lot",4
"feel","like","made",6
"feel","like","making",11
"feel","like","much",9
"feel","like","need",16
"feel","like","nothing",5
"feel","like","part",4
"feel","like","really",6
"feel","like","right",10
"feel","like","something",13
"feel","like","taking",7
"feel","like","time",9
"feel","like","whole",6
"feel","like","working",13
"feel","little","bit",7
"feel","lot","better",5
"feel","much","better",21
"feel","pretty","good",11
"feel","really","good",7
"feel","right","home",3
"feel","right","now",14
"feel","sorry","people",5
"feeling","little","bit",6
"feeling","right","now",4
"feels","good","back",14
"feels","like","home",12
"feels","really","good",5
"feet","sea","level",4
"felt","good","get",3
"felt","just","like",5
"felt","like","gave",4
"felt","like","home",3
"felt","like","live",3
"felt","like","much",4
"felt","like","needed",9
"felt","like","one",4
"felt","like","something",5
"fifty","shades","grey",9
"fight","fight","fight",6
"fight","hiv","aids",4
"fight","right","party",7
"figure","get","back",3
"figured","might","well",4
"film","written","directed",5
"final","minutes","game",6
"finally","found","one",7
"finally","got","meet",5
"find","another","job",3
"find","another","way",7
"find","best","way",4
"find","better","way",5
"find","common","ground",10
"find","hard","believe",6
"find","many","people",3
"find","new","home",7
"find","something","else",8
"find","something","like",7
"find","something","new",5
"find","way","get",13
"find","way","make",7
"finished","high","school",5
"first","aid","kit",4
"first","class","day",3
"first","couple","weeks",6
"first","day","back",20
"first","day","college",3
"first","day","new",9
"first","day","school",26
"first","day","spring",22
"first","first","serve",6
"first","full","day",7
"first","game","back",4
"first","half","marathon",6
"first","hand","experience",6
"first","lady","michelle",14
"first","little","bit",3
"first","major","league",9
"first","make","sure",5
"first","national","bank",4
"first","night","new",4
"first","official","day",5
"first","one","will",6
"first","order","business",6
"first","place","winner",3
"first","round","can",3
"first","round","draft",8
"first","started","talking",3
"first","step","toward",9
"first","step","towards",3
"first","thing","came",3
"first","thing","get",3
"first","thing","go",5
"first","thing","morning",10
"first","thing","noticed",3
"first","thing","said",3
"first","thing","thought",7
"first","thing","want",4
"first","things","first",14
"first","three","days",5
"first","three","months",39
"first","three","quarters",7
"first","three","years",12
"first","time","actually",4
"first","time","around",8
"first","time","ever",65
"first","time","got",7
"first","time","happened",4
"first","time","heard",14
"first","time","history",9
"first","time","just",6
"first","time","last",13
"first","time","life",11
"first","time","long",15
"first","time","many",9
"first","time","met",5
"first","time","month",4
"first","time","now",5
"first","time","really",8
"first","time","saw",17
"first","time","since",103
"first","time","someone",4
"first","time","trying",5
"first","time","two",8
"first","time","weeks",8
"first","time","went",3
"first","time","will",8
"first","time","year",14
"first","time","years",40
"first","two","months",9
"first","two","picks",4
"first","two","weeks",11
"first","two","years",14
"first","week","april",5
"first","week","new",4
"first","year","really",3
"fish","wildlife","service",18
"five","hours","sleep",4
"five","minutes","without",3
"five","six","times",4
"five","years","ago",94
"five","years","now",4
"five","years","since",7
"five","years","will",6
"flew","cuckoos","nest",4
"flight","new","york",5
"flowing","like","good",3
"flying","back","home",3
"focus","right","now",5
"follow","us","twitter",25
"food","cart","pod",3
"food","wine","festival",6
"football","hall","fame",7
"forgetting","sarah","marshall",3
"former","los","angeles",4
"former","secretary","state",8
"forward","new","year",7
"forward","next","year",8
"forward","seeing","great",6
"fought","world","war",3
"four","times","likely",5
"four","years","ago",74
"francis","de","sales",3
"frank","lloyd","wright",9
"franklin","d","roosevelt",7
"free","ice","cream",17
"french","onion","soup",6
"freshly","ground","black",10
"freshman","year","college",7
"friday","april","pm",3
"friday","april","th",7
"friday","may","pm",6
"friday","night","lights",21
"friday","saturday","sunday",8
"fried","green","tomatoes",7
"friend","mine","told",4
"friends","family","can",6
"friends","family","know",4
"friends","family","members",15
"friends","high","school",3
"friends","loved","ones",6
"friends","new","york",3
"front","door","will",3
"front","row","seat",6
"front","television","watching",3
"fructose","corn","syrup",10
"fruits","vegetables","whole",5
"full","moon","year",3
"full","time","job",9
"funding","planned","parenthood",9
"funny","things","work",3
"future","generations","will",4
"future","right","now",5
"gael","garcia","bernal",3
"game","good","one",3
"game","regular","season",9
"game","stanley","cup",3
"gave","standing","ovation",3
"gave","us","chance",4
"gave","us","free",3
"general","election","november",3
"genetically","modified","organisms",4
"george","hw","bush",11
"george","mason","university",8
"george","r","r",3
"george","w","bush",65
"get","act","together",8
"get","along","great",4
"get","along","well",5
"get","another","one",8
"get","answers","questions",5
"get","anything","done",11
"get","back","feet",4
"get","back","game",11
"get","back","normal",9
"get","back","road",4
"get","back","shape",5
"get","back","together",8
"get","back","track",26
"get","back","work",31
"get","ball","rolling",5
"get","better","better",3
"get","better","one",5
"get","brand","new",4
"get","chance","get",4
"get","chance","play",9
"get","chance","see",10
"get","chance","talk",3
"get","done","can",5
"get","everything","done",7
"get","free","copy",5
"get","free","shipping",4
"get","fresh","start",4
"get","good","look",3
"get","head","start",4
"get","home","work",10
"get","hours","sleep",4
"get","job","done",9
"get","just","one",5
"get","little","bit",14
"get","look","like",4
"get","money","back",9
"get","money","make",3
"get","much","better",21
"get","much","done",4
"get","new","job",3
"get","next","one",5
"get","one","free",19
"get","one","last",3
"get","one","soon",3
"get","party","started",13
"get","people","back",3
"get","phone","call",5
"get","phone","number",4
"get","point","across",9
"get","projects","done",4
"get","quickly","can",3
"get","ready","new",6
"get","rid","people",3
"get","right","away",3
"get","right","back",3
"get","see","much",3
"get","slapped","around",3
"get","something","done",7
"get","something","return",3
"get","struck","lightning",3
"get","stuff","done",10
"get","things","done",25
"get","touch","us",3
"get","work","done",34
"get","wrong","love",8
"get","wrong","still",3
"gets","better","soon",3
"gets","home","work",4
"getting","anything","done",5
"getting","back","normal",9
"getting","back","old",4
"getting","back","together",7
"getting","better","better",17
"getting","every","day",3
"getting","feet","wet",3
"getting","hair","done",9
"getting","harder","harder",6
"getting","house","ready",4
"getting","little","bit",3
"getting","much","better",5
"getting","ready","go",34
"getting","really","good",8
"getting","things","done",11
"getting","work","done",9
"getting","worse","worse",4
"girl","dragon","tattoo",20
"girl","high","school",4
"girl","scout","troop",6
"girls","gone","wild",4
"give","back","community",10
"give","best","shot",4
"give","enough","time",3
"give","new","york",3
"give","us","real",3
"giving","back","community",5
"glass","half","full",8
"glass","red","wine",9
"go","around","world",3
"go","back","cant",3
"go","back","first",3
"go","back","home",21
"go","back","inside",6
"go","back","make",6
"go","back","original",3
"go","back","place",3
"go","back","school",29
"go","back","sleep",39
"go","back","time",15
"go","back","work",24
"go","bed","early",11
"go","bed","pm",5
"go","extra","mile",10
"go","facebook","page",3
"go","family","friends",6
"go","far","say",7
"go","go","go",29
"go","grocery","shopping",8
"go","grocery","store",8
"go","hand","hand",17
"go","high","school",8
"go","home","now",5
"go","long","way",27
"go","long","without",3
"go","next","level",3
"go","opposite","direction",3
"go","play","golf",3
"go","right","back",5
"go","see","movie",12
"go","separate","ways",5
"go","several","times",3
"go","want","go",5
"go","watch","now",4
"go","weeks","without",4
"go","will","go",4
"go","wrong","just",3
"god","give","strength",4
"god","jesus","christ",8
"god","sense","humor",3
"goes","far","beyond",10
"goes","hand","hand",4
"goes","long","way",33
"goes","well","beyond",3
"goes","without","saying",16
"going","anywhere","near",3
"going","back","forth",10
"going","back","school",8
"going","back","work",12
"going","buy","new",4
"going","get","back",7
"going","get","better",9
"going","get","done",9
"going","get","little",6
"going","get","much",3
"going","get","worse",8
"going","go","away",10
"going","go","back",9
"going","go","get",9
"going","go","now",3
"going","going","get",3
"going","great","day",11
"going","happen","will",4
"going","interesting","see",3
"going","let","go",7
"going","let","us",4
"going","long","day",11
"going","look","like",11
"going","make","us",3
"going","miss","much",10
"going","need","work",3
"going","pretty","well",7
"going","really","good",5
"going","really","well",7
"going","right","direction",6
"going","right","now",29
"going","run","away",3
"going","san","diego",4
"going","say","something",4
"going","take","care",6
"going","take","first",3
"going","try","enjoy",3
"going","try","get",6
"going","try","keep",4
"going","try","something",3
"going","try","take",4
"going","win","one",4
"going","wrong","direction",5
"gold","end","rainbow",4
"golden","gate","bridge",27
"golden","gate","park",6
"good","bad","day",5
"good","chance","getting",3
"good","chance","will",9
"good","days","will",3
